run,period_s
1,0.967409318
2,1.042472134
3,0.933366467
4,0.986926744
5,0.979926191
6,0.969967697
7,1.001598018
8,0.988644024
9,0.947204963
10,1.027423193
11,0.991213930
12,1.012649095
13,1.032306182
14,1.009933299
15,0.995328426
16,0.980856800
17,0.986751319
18,0.983073196
19,1.034092048
20,0.989182073
21,1.024779291
22,0.993798151
23,1.025378990
24,0.980307963
25,0.956022883
26,0.943415454
27,0.954204556
28,0.985351705
29,0.950972245
30,0.950378834
31,1.029195700
32,0.978804232
33,0.961756629
34,0.952579583
35,0.978356997
36,0.975571818
37,0.995466063
38,0.983052414
39,0.947233808
40,0.991420841
41,0.979853284
42,0.973800427
43,0.956761529
44,1.039531565
45,0.968185434
46,0.966059593
47,0.981945629
48,1.029944376
49,0.970714574
50,1.004323552
51,1.045995960
52,0.966441961
53,0.981068011
54,1.015128847
55,1.006133043
56,0.981163489
57,0.992233703
58,1.014418541
59,0.950852388
60,1.032994076
61,0.936773723
62,0.963806826
63,1.018234023
64,0.948441503
65,0.964663877
66,1.008288434
67,0.987427106
68,0.953404367
69,1.045022421
70,1.014953786
71,0.938693367
72,0.951792796
73,0.983613315
74,1.038457818
75,0.965645333
76,0.946584940
77,1.019049221
78,0.973331218
79,0.947483166
80,1.042286844
81,0.959014748
82,1.034924754
83,0.984374933
84,0.980296947
85,1.031886721
86,0.965652317
87,0.973552237
88,0.983692364
89,1.028178444
90,0.956437873
91,1.041355004
92,0.972956858
93,0.965098685
94,1.023625168
95,0.997618285
96,1.014460160
97,0.987808606
98,1.010976784
99,1.017097392
100,0.962449224
101,1.016592013
102,0.974162634
103,0.966172269
104,1.002185795
105,0.956619819
106,1.025350647
107,0.997206276
108,0.957225967
109,1.009611947
110,0.985906632
111,1.023400737
112,1.013549625
113,0.967127004
114,0.941427749
115,1.024216712
116,0.978711870
117,0.942806552
118,1.016550296
119,0.995571653
120,0.983241035
121,0.978748059
122,0.987385768
123,0.980813279
124,0.954122552
125,1.008894438
126,1.013303432
127,1.004570314
128,1.010918849
129,0.991879683
130,1.028302157
131,0.990950680
132,1.011452620
133,0.962533161
134,0.961879182
135,0.968602486
136,1.020237415
137,1.008100230
138,1.042943595
139,0.983968249
140,1.017933782
141,1.036702593
142,0.992985306
143,1.033853907
144,1.017952807
145,0.995597147
146,0.950298832
147,0.981023913
148,0.964375649
149,1.019632605
150,1.040834188
151,0.935580891
152,1.006125075
153,1.022401039
154,1.030444454
155,1.027693968
156,0.982476284
157,0.986451388
158,0.972437520
159,0.955357561
160,0.992811104
161,0.956432873
162,0.950385570
163,1.039845838
164,0.981598943
165,1.030062499
166,0.940919596
167,1.044925819
168,0.993207546
169,0.984760296
170,0.972258965
171,1.008125545
172,0.986385076
173,0.983417649
174,0.953464687
175,1.000435263
176,0.972396008
177,0.953351761
178,0.946737458
179,0.982466949
180,1.013939419
181,1.032050138
182,1.050632095
183,0.985224089
184,0.997183718
185,0.952041780
186,1.040851618
187,1.023362412
188,0.992290385
189,1.018284809
190,1.021753659
191,0.989875092
192,1.007601153
193,0.975521746
194,1.032028884
195,0.966379419
196,0.947483253
197,0.950760186
198,0.970603368
199,1.031266374
200,0.966704516
